variant,instance,metric,time_a,time_b,median_a,median_b,statistic,p_value,cliffs_delta_positive_favors_a,p_value_holm,decision
baseline-first,A-n33-k5,gap_percent,0.2,0.5,63.3131615,61.4220845,507.0,0.40347220594156596,-0.12666666666666668,1.0,no_significativo
baseline-first,A-n33-k5,gap_percent,0.2,1.0,63.3131615,62.102871,489.5,0.5641659837567035,-0.08777777777777777,1.0,no_significativo
baseline-first,A-n33-k5,gap_percent,0.2,1.5,63.3131615,57.413011499999996,575.0,0.06563751093440631,-0.2777777777777778,0.3938250656064379,no_significativo
baseline-first,A-n33-k5,gap_percent,0.5,1.0,61.4220845,62.102871,426.5,0.7338037132920935,0.052222222222222225,1.0,no_significativo
baseline-first,A-n33-k5,gap_percent,0.5,1.5,61.4220845,57.413011499999996,513.5,0.3516035116765567,-0.1411111111111111,1.0,no_significativo
baseline-first,A-n33-k5,gap_percent,1.0,1.5,62.102871,57.413011499999996,560.5,0.10384542141900778,-0.24555555555555555,0.5192271070950389,no_significativo
baseline-first,A-n33-k5,elapsed_time_seconds,0.2,0.5,0.34593399999999996,0.38151650000000004,350.0,0.14127197989159918,0.2222222222222222,0.5650879195663967,no_significativo
baseline-first,A-n33-k5,elapsed_time_seconds,0.2,1.0,0.34593399999999996,0.315999,501.0,0.4552969069031376,-0.11333333333333333,1.0,no_significativo
baseline-first,A-n33-k5,elapsed_time_seconds,0.2,1.5,0.34593399999999996,0.297351,472.0,0.7505872315223063,-0.04888888888888889,1.0,no_significativo
baseline-first,A-n33-k5,elapsed_time_seconds,0.5,1.0,0.38151650000000004,0.315999,576.0,0.06352897277381547,-0.28,0.38117383664289284,no_significativo
baseline-first,A-n33-k5,elapsed_time_seconds,0.5,1.5,0.38151650000000004,0.297351,575.0,0.065667507968785,-0.2777777777777778,0.38117383664289284,no_significativo
baseline-first,A-n33-k5,elapsed_time_seconds,1.0,1.5,0.315999,0.297351,468.0,0.795845542466455,-0.04,1.0,no_significativo
baseline-first,A-n65-k9,gap_percent,0.2,0.5,141.8228225,136.0732575,607.0,0.020677220838832822,-0.3488888888888889,0.08270888335533129,no_significativo
baseline-first,A-n65-k9,gap_percent,0.2,1.0,141.8228225,127.0868835,709.5,0.00012843926257024974,-0.5766666666666667,0.0006421963128512487,significativo
baseline-first,A-n65-k9,gap_percent,0.2,1.5,141.8228225,128.918228,718.0,7.657027517674022e-05,-0.5955555555555555,0.00045942165106044135,significativo
baseline-first,A-n65-k9,gap_percent,0.5,1.0,136.0732575,127.0868835,592.0,0.03643365622679835,-0.31555555555555553,0.10930096868039506,no_significativo
baseline-first,A-n65-k9,gap_percent,0.5,1.5,136.0732575,128.918228,585.0,0.04675279015290721,-0.3,0.10930096868039506,no_significativo
baseline-first,A-n65-k9,gap_percent,1.0,1.5,127.0868835,128.918228,433.0,0.8072618254381078,0.03777777777777778,0.8072618254381078,no_significativo
baseline-first,A-n65-k9,elapsed_time_seconds,0.2,0.5,0.8558365,1.4130604999999998,283.0,0.013830301144922527,0.3711111111111111,0.05532120457969011,no_significativo
baseline-first,A-n65-k9,elapsed_time_seconds,0.2,1.0,0.8558365,0.9704969999999999,375.0,0.2706986810404507,0.16666666666666666,0.2706986810404507,no_significativo
baseline-first,A-n65-k9,elapsed_time_seconds,0.2,1.5,0.8558365,0.636681,628.0,0.008683441598445004,-0.39555555555555555,0.04341720799222502,significativo
baseline-first,A-n65-k9,elapsed_time_seconds,0.5,1.0,1.4130604999999998,0.9704969999999999,565.0,0.090490360906144,-0.25555555555555554,0.180980721812288,no_significativo
baseline-first,A-n65-k9,elapsed_time_seconds,0.5,1.5,1.4130604999999998,0.636681,646.0,0.003848067983551401,-0.43555555555555553,0.023088407901308408,significativo
baseline-first,A-n65-k9,elapsed_time_seconds,1.0,1.5,0.9704969999999999,0.636681,608.0,0.01988307641391072,-0.3511111111111111,0.05964922924173216,no_significativo
baseline-first,A-n80-k10,gap_percent,0.2,0.5,125.1843455,118.9449805,615.5,0.014709064693113786,-0.36777777777777776,0.029418129386227572,significativo
baseline-first,A-n80-k10,gap_percent,0.2,1.0,125.1843455,106.6080555,832.0,1.697180026580642e-08,-0.8488888888888889,8.48590013290321e-08,significativo
baseline-first,A-n80-k10,gap_percent,0.2,1.5,125.1843455,106.182648,849.5,3.6537971907321475e-09,-0.8877777777777778,2.1922783144392883e-08,significativo
baseline-first,A-n80-k10,gap_percent,0.5,1.0,118.9449805,106.6080555,707.0,0.00014922046608019946,-0.5711111111111111,0.0004476613982405984,significativo
baseline-first,A-n80-k10,gap_percent,0.5,1.5,118.9449805,106.182648,727.5,4.214407736426898e-05,-0.6166666666666667,0.0001685763094570759,significativo
baseline-first,A-n80-k10,gap_percent,1.0,1.5,106.6080555,106.182648,461.0,0.8766280991228591,-0.024444444444444446,0.8766280991228591,no_significativo
baseline-first,A-n80-k10,elapsed_time_seconds,0.2,0.5,0.9398195,1.6940635,138.0,4.117756415821909e-06,0.6933333333333334,1.6471025663287635e-05,significativo
baseline-first,A-n80-k10,elapsed_time_seconds,0.2,1.0,0.9398195,1.945494,94.0,1.473317499078265e-07,0.7911111111111111,8.839904994469589e-07,significativo
baseline-first,A-n80-k10,elapsed_time_seconds,0.2,1.5,0.9398195,1.594703,97.0,1.8730978430511631e-07,0.7844444444444445,9.365489215255816e-07,significativo
baseline-first,A-n80-k10,elapsed_time_seconds,0.5,1.0,1.6940635,1.945494,322.0,0.0594279151689524,0.28444444444444444,0.16663707940303668,no_significativo
baseline-first,A-n80-k10,elapsed_time_seconds,0.5,1.5,1.6940635,1.594703,443.0,0.9234421319782358,0.015555555555555555,0.9234421319782358,no_significativo
baseline-first,A-n80-k10,elapsed_time_seconds,1.0,1.5,1.945494,1.594703,580.0,0.05554569313434556,-0.28888888888888886,0.16663707940303668,no_significativo
